         3048587 function calls in 4.218 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1000000    2.423    0.000    2.423    0.000 optimized_pyflate.py:19(read_bits)
        1    1.034    1.034    3.628    3.628 optimized_pyflate.py:43(decompress_simulation)
  1048577    0.383    0.000    0.383    0.000 optimized_pyflate.py:63(<genexpr>)
        1    0.206    0.206    4.217    4.217 optimized_pyflate.py:60(main)
  1000000    0.171    0.000    0.171    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    4.218    4.218 optimized_pyflate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 optimized_pyflate.py:11(__init__)
        1    0.000    0.000    4.218    4.218 {built-in method builtins.exec}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 optimized_pyflate.py:10(OptimizedBitStream)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


